Date,Qwinj 0866-A1b,Qwinj 0866-A1c,Qwinj 0866-A1f,Qwinj 0866-A2,Qwinj 0866-A2i,Qwinj 0867-B2b,Qwinj 0867-B2c,Qwinj 0867-B2e,Qwinj 0867-B3,Qwinj 1318-A1f,Qwinj 1318-A2,Qwinj 1318-A2i,Qwinj 1318-A3,Qwinj 1318-B1,Qwinj 1318-B1i,Qwinj 1318-B2,Qwinj 1318-B2b,Qwinj 1318-B2c,Qwinj 1318-B2d,Qwinj 1318-B2e,Qwinj 1319-A1,Qwinj 1319-A1a,Qwinj 1319-A1b,Qwinj 1319-A1c,Qwinj 1319-A1d,Qwinj 1319-A1f,Qwinj 1319-A2,Qwinj 1319-A2i,Qwinj 1319-B2,Qwinj 1319-B2c,Qwinj 0839-A1,Qwinj 0839-A1a,Qwinj 0839-A1b,Qwinj 0839-A1c,Qwinj 0839-A1d,Qwinj 0829-B1,Qwinj 0829-B1i,Qwinj 0829-B2,Qwinj 0843-A1,Qwinj 0843-A1a,Qwinj 0843-A1b,Qwinj 0843-A1c,Qwinj 0843-A1f,Qwinj 0843-A2,Qwinj 0844-A2i,Qwinj 0844-A3,Qwinj 0844-B1i,Qwinj 0844-B2,Qwinj 0844-B2b,Qwinj 0844-B2c,Qwinj 0844-B2d,Qwinj 0844-B2e,Qwinj 0451-B1,Qwinj 0451-B1i,Qwinj 0451-B2,Qwinj 1317-A2,Qwinj 1317-A2i,Qwinj 1317-A3,Qwinj 1317-B1,Qwinj 1317-B1i,Qwinj 1317-B2,Qwinj 1317-B2b,Qwinj 1317-B2c,Qwinj 1317-B2d,Qwinj 1317-B2e,Qwinj 1317-B3,Qwinj 1317-C,Qwinj 0853-A1b,Qwinj 0853-A1c,Qwinj 0853-A1f,Qwinj 0853-A2,Qwinj 0853-A2i,Qtotal 402
1/11/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,285.94,15.63,0,0,53.13,0,0,12.5,32.81,0,0,0,24.8,52.51,0,0,42.59,14.98,358.03,171.86,157.54,14.02,12.46,117.6,105.92,0,4.64,12.6,2.76,0,0,0,0,0,0,48.27,65.82,0,28.52,6.58,231.45,10.97,38.39,0,0,0,0,0,7.82,7.82,119.32,100.73,0,75.31,9.78,20.54,1.96,56.72,5.12,38.4,179.2,97.28,0,649.34
1/12/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,285.94,15.63,0,0,53.13,0,0,12.5,32.81,0,0,0,24.8,52.51,0,0,42.59,14.98,358.03,171.86,157.54,14.02,12.46,117.6,105.92,0,4.64,12.6,2.76,0,0,0,0,0,0,47.14,64.29,0,27.86,6.43,226.07,10.71,37.5,0,0,0,0,0,7.82,7.82,119.32,100.73,0,75.31,9.78,20.54,1.96,56.72,5.12,38.4,179.2,97.28,0,630.4
1/13/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,0,0,0,0,0,0,0,12.5,0,0,0,0,17.01,27.78,0,30.21,30.21,65.28,61.46,33.33,34.72,14.02,12.46,117.6,105.92,0,4.64,12.6,2.76,0,0,0,0,0,0,47.14,64.29,0,27.86,6.43,226.07,10.71,37.5,0,0,0,0,0,7.82,7.82,119.32,100.73,0,75.31,9.78,20.54,1.96,56.72,5.12,38.4,179.2,97.28,0,630.87
1/14/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,0,0,0,0,0,0,0,12.5,0,0,0,0,48.77,79.63,0,86.6,86.6,187.13,176.18,95.56,99.54,14.02,12.46,117.6,105.92,0,4.64,12.6,2.76,0,0,0,0,0,0,47.14,64.29,0,27.86,6.43,226.07,10.71,37.5,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,5.12,38.4,179.2,97.28,0,630.32
1/15/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,0,0,0,0,0,0,0,12.5,0,0,0,0,48.77,52.51,0,0,86.6,187.13,358.03,171.86,157.54,14.02,12.46,117.6,105.92,0,4.64,12.6,2.76,0,0,0,0,0,0,47.14,64.29,0,27.86,6.43,226.07,10.71,37.5,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,5.12,38.4,179.2,97.28,0,631.28
1/16/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,0,0,0,0,0,0,0,12.5,0,0,0,0,48.77,52.51,0,0,86.6,187.13,358.03,171.86,157.54,14.02,12.46,117.6,105.92,0,4.64,12.6,2.76,0,0,0,0,0,0,47.14,64.29,0,27.86,6.43,226.07,10.71,37.5,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,5.12,38.4,179.2,97.28,0,637.08
1/17/17,0,138.21,0,123.4,318.38,140.92,0,105.18,43.91,0,0,0,0,0,0,0,12.5,0,0,0,0,48.77,52.51,0,0,86.6,187.13,358.03,171.86,157.54,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,55,75,0,32.5,7.5,263.75,12.5,43.75,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,5.12,38.4,179.2,97.28,0,636.49
1/18/17,0,86.95,0,77.63,200.29,138.96,0,103.72,43.3,0,0,0,0,0,0,0,12.5,0,0,0,0,48.1,78.52,0,85.39,85.39,184.53,173.73,94.23,98.15,15.48,13.76,129.88,116.98,0,4.58,12.42,2.72,0,0,0,0,0,0,54.24,73.96,0,32.05,7.4,260.09,12.33,43.14,0,0,0,0,0,9.26,9.26,141.19,119.2,0,89.11,11.57,24.3,2.31,67.12,0,222.57,66.31,26.68,0,636.69
1/19/17,0,83.4,0,74.47,192.13,140.92,0,105.18,43.91,0,0,0,0,0,0,0,12.5,0,0,0,0,48.77,79.63,0,86.6,86.6,187.13,176.18,95.56,99.54,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,55,75,0,32.5,7.5,263.75,12.5,43.75,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,0,0,0,0,0,636.74
1/20/17,0,83.4,0,74.47,192.13,140.92,0,105.18,43.91,0,0,0,0,0,0,0,12.5,0,0,0,0,48.77,52.51,0,0,86.6,187.13,358.03,171.86,157.54,15.7,13.96,131.71,118.63,0,4.64,12.6,2.76,0,0,0,0,0,0,55,75,0,32.5,7.5,263.75,12.5,43.75,0,0,0,0,0,9.39,9.39,143.18,120.88,0,90.37,11.74,24.65,2.35,68.07,0,0,0,0,0,638.41
